ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",1,"Hispanic or Latino",2015,"2015",14104.000000000002,"North Carolina","04000US37","north-carolina",546847,0.054451636107134244
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",9555,"North Carolina","04000US37","north-carolina",2141818,0.21326896617099492
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",5662,"North Carolina","04000US37","north-carolina",30674,0.0030543268701304677
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",3213,"North Carolina","04000US37","north-carolina",109502,0.0109035307078642
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",4014,"North Carolina","04000US37","north-carolina",11011,0.0010964071580819776
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",5222,"North Carolina","04000US37","north-carolina",266004,0.026487030213281113
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",892,"North Carolina","04000US37","north-carolina",2318,0.00023081207814313178
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",936.9999999999999,"North Carolina","04000US37","north-carolina",2967,0.00029543547707104053
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",1011,"North Carolina","04000US37","north-carolina",2023,0.00020143780590317325
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",4570,"North Carolina","04000US37","north-carolina",22054,0.002196000677898459
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",15202,"North Carolina","04000US37","north-carolina",278259,0.027707307183791934
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",10070.159929216616,"North Carolina","04000US37","north-carolina",200915,0.020005870871495822
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",5135.944314339866,"North Carolina","04000US37","north-carolina",40542,0.0040369211700081314
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",4159,"North Carolina","04000US37","north-carolina",6359485,0.6395321825380703
0,"White Alone",1,"Hispanic or Latino",2014,"2014",14094.000000000002,"North Carolina","04000US37","north-carolina",509722,0.05125943738332118
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",9363,"North Carolina","04000US37","north-carolina",2124971,0.213694558829859
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",4378,"North Carolina","04000US37","north-carolina",29416,0.0029581764374850914
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",3430.0000000000005,"North Carolina","04000US37","north-carolina",105548,0.01061427816914864
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",1586,"North Carolina","04000US37","north-carolina",5728,0.0005760278295456419
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",4316,"North Carolina","04000US37","north-carolina",245542,0.024692567269953915
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",648,"North Carolina","04000US37","north-carolina",1179,0.00011856438740124159
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",1648,"North Carolina","04000US37","north-carolina",5185,0.0005214218394193704
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",519,"North Carolina","04000US37","north-carolina",583,0.00005862853083538919
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",4712,"North Carolina","04000US37","north-carolina",22434,0.0022560419567086124
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",14771,"North Carolina","04000US37","north-carolina",299817,0.030150652194637872
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",10226.368319203058,"North Carolina","04000US37","north-carolina",190198,0.019126979944818788
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",5102.2504838551395,"North Carolina","04000US37","north-carolina",44156,0.004440482688794932
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",4066.9999999999995,"North Carolina","04000US37","north-carolina",6326195,0.6423798189694214
0,"White Alone",1,"Hispanic or Latino",2013,"2013",14806,"North Carolina","04000US37","north-carolina",485306,0.049279350450748674
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",11021,"North Carolina","04000US37","north-carolina",2090265,0.21225144850864028
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",5550,"North Carolina","04000US37","north-carolina",31447,0.003193217750501114
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",3478,"North Carolina","04000US37","north-carolina",104445,0.010605642126469578
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",2500,"North Carolina","04000US37","north-carolina",8185,0.0008311281612825267
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",4473,"North Carolina","04000US37","north-carolina",236999,0.024065551997043074
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",672,"North Carolina","04000US37","north-carolina",1503,0.00015261889143648597
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",2632,"North Carolina","04000US37","north-carolina",5493,0.0005577748307788539
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",608,"North Carolina","04000US37","north-carolina",1168,0.00011860203938643753
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",5657,"North Carolina","04000US37","north-carolina",22585,0.0022933450852249074
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",14064.000000000002,"North Carolina","04000US37","north-carolina",298325,0.030292768321882685
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",10493.646887521993,"North Carolina","04000US37","north-carolina",194873,0.019787958237459966
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",5235.801848809789,"North Carolina","04000US37","north-carolina",41271,0.004190774629724027
